PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Is_Married,Title_Dr/Military/Noble/Clergy,Title_Master,Title_Miss/Mrs/Ms,Title_Mr,Ticket_Frequency,Embarked_C,Embarked_Q,Embarked_S,Deck_ABC,Deck_DE,Deck_FG,Deck_M,Family Size,Family_Size_Grouped
892,3,0,7,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
893,3,1,8,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
894,2,0,9,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
895,3,0,5,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
896,3,1,2,1,1,5,1,0,0,1,0,1,0,0,1,0,0,0,1,3,3
897,3,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
898,3,1,6,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
899,2,0,5,1,1,9,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
900,3,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
901,3,0,1,2,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
902,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
903,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
904,1,1,2,1,0,11,1,0,0,1,0,2,0,0,1,1,0,0,0,2,3
905,2,0,9,1,0,8,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
906,1,1,8,1,0,11,1,0,0,1,0,1,0,0,1,0,1,0,0,2,3
907,2,1,3,1,0,9,1,0,0,1,0,1,1,0,0,0,0,0,1,2,3
908,2,0,7,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
909,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
910,3,1,5,1,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,2,3
911,3,1,8,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
912,1,0,9,1,0,10,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
913,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,3
914,1,1,7,0,0,9,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
915,1,0,1,0,1,11,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
916,1,1,8,1,3,12,1,0,0,1,0,5,1,0,0,1,0,0,0,5,2
917,3,0,9,1,0,6,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
918,1,1,2,0,1,11,0,0,0,1,0,1,1,0,0,1,0,0,0,2,3
919,3,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
920,1,0,7,0,0,9,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
921,3,0,3,2,0,7,0,0,0,0,1,2,1,0,0,0,0,0,1,3,3
922,2,0,9,1,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
923,2,0,3,2,0,9,0,0,0,0,1,3,0,0,1,0,0,0,1,3,3
924,3,1,6,1,2,7,1,0,0,1,0,2,0,0,1,0,0,0,1,4,3
925,3,1,2,1,2,8,1,0,0,1,0,2,0,0,1,0,0,0,1,4,3
926,1,0,6,1,0,10,0,0,0,0,1,2,1,0,0,1,0,0,0,2,3
927,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
928,3,1,2,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
929,3,1,1,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
930,3,0,4,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
931,3,0,3,0,0,10,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
932,3,0,7,0,1,6,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
933,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
934,3,0,7,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
935,2,1,6,0,0,5,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
936,1,1,8,1,0,10,1,0,0,1,0,1,0,0,1,0,1,0,0,2,3
937,3,0,4,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
938,1,0,8,0,0,9,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
939,3,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
940,1,1,9,0,0,11,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
941,3,1,7,0,2,7,1,0,0,1,0,1,0,0,1,0,0,0,1,3,3
942,1,0,3,1,0,11,0,0,0,0,1,2,0,0,1,1,0,0,0,2,3
943,2,0,5,0,0,6,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
944,2,1,1,2,1,8,0,0,0,1,0,1,0,0,1,0,0,0,1,4,3
945,1,1,5,3,2,12,0,0,0,1,0,2,0,0,1,1,0,0,0,6,2
946,2,0,5,0,0,7,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
947,3,0,0,4,1,9,0,0,1,0,0,1,0,1,0,0,0,0,1,6,2
948,3,0,7,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
949,3,0,4,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
950,3,0,3,1,0,7,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
951,1,1,7,0,0,12,0,0,0,1,0,5,1,0,0,1,0,0,0,1,0
952,3,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
953,2,0,6,0,0,6,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
954,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
955,3,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
956,1,0,0,2,2,12,0,0,1,0,0,5,1,0,0,1,0,0,0,5,2
957,2,1,3,0,0,7,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0
958,3,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
959,1,0,8,0,0,10,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
960,1,0,6,0,0,9,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
961,1,1,9,1,4,12,1,0,0,1,0,2,0,0,1,1,0,0,0,6,2
962,3,1,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
963,3,0,1,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
964,3,1,6,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
965,1,0,6,0,0,9,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0
966,1,1,7,0,0,12,0,0,0,1,0,4,1,0,0,1,0,0,0,1,0
967,1,0,6,0,0,12,0,0,0,0,1,4,1,0,0,1,0,0,0,1,0
968,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
969,1,1,9,2,0,8,1,0,0,1,0,1,0,0,1,1,0,0,0,3,3
970,2,0,6,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
971,3,1,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
972,3,0,0,1,1,6,0,0,1,0,0,1,1,0,0,0,0,0,1,3,3
973,1,0,9,1,0,12,0,0,0,0,1,3,0,0,1,1,0,0,0,2,3
974,1,0,9,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
975,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
976,2,0,5,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
977,3,0,3,1,0,6,0,0,0,0,1,2,1,0,0,0,0,0,1,2,3
978,3,1,5,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
979,3,1,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
980,3,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
981,2,0,0,1,1,8,0,0,1,0,0,2,0,0,1,0,0,0,1,3,3
982,3,1,2,1,0,6,1,0,0,1,0,2,0,0,1,0,0,0,1,2,3
983,3,0,3,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
984,1,1,5,1,2,10,1,0,0,1,0,1,0,0,1,1,0,0,0,4,3
985,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
986,1,0,4,0,0,8,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
987,3,0,4,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
988,1,1,9,1,0,11,1,0,0,1,0,1,0,0,1,1,0,0,0,2,3
989,3,0,6,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
990,3,1,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
991,3,0,6,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
992,1,1,8,1,0,10,1,0,0,1,0,2,1,0,0,1,0,0,0,2,3
993,2,0,5,1,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
994,3,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
995,3,0,5,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
996,3,1,0,1,1,4,1,0,0,1,0,1,1,0,0,0,0,0,1,3,3
997,3,0,5,0,0,7,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0
998,3,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
999,3,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
1000,3,0,3,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1001,2,0,1,0,0,5,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
1002,2,0,7,0,0,6,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1003,3,1,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
1004,1,1,7,0,0,9,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
1005,3,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
1006,1,1,9,1,0,12,1,0,0,1,0,3,0,0,1,1,0,0,0,2,3
1007,3,0,0,1,0,6,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
1008,3,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1009,3,1,0,1,1,7,0,0,0,1,0,1,0,0,1,0,0,1,0,3,3
1010,1,0,7,0,0,11,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0
1011,2,1,6,1,0,8,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
1012,2,1,0,0,0,7,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1013,3,0,3,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
1014,1,1,7,1,0,10,1,0,0,1,0,2,1,0,0,1,0,0,0,2,3
1015,3,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1016,3,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
1017,3,1,0,0,1,7,0,0,0,1,0,1,0,0,1,0,0,0,1,2,3
1018,3,0,2,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1019,3,1,2,2,0,8,0,0,0,1,0,1,0,1,0,0,0,0,1,3,3
1020,2,0,8,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1021,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1022,3,0,6,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1023,1,0,9,0,0,9,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
1024,3,1,2,0,4,8,1,0,0,1,0,1,0,0,1,0,0,0,1,5,2
1025,3,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
1026,3,0,8,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1027,3,0,3,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1028,3,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1029,2,0,5,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1030,3,1,2,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1031,3,0,7,1,6,10,0,0,0,0,1,2,0,0,1,0,0,0,1,8,1
1032,3,1,0,5,2,10,0,0,0,1,0,2,0,0,1,0,0,0,1,8,1
1033,1,1,6,0,0,12,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0
1034,1,0,9,1,3,12,0,0,0,0,1,5,1,0,0,1,0,0,0,5,2
1035,2,0,5,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1036,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1037,3,0,6,3,0,7,0,0,0,0,1,1,0,0,1,0,0,0,1,4,3
1038,1,0,8,0,0,10,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
1039,3,0,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1040,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1041,2,0,6,1,1,8,0,1,0,0,0,1,0,0,1,0,0,0,1,3,3
1042,1,1,2,0,1,11,1,0,0,1,0,1,1,0,0,1,0,0,0,2,3
1043,3,0,3,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1044,3,0,9,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1045,3,1,7,0,2,5,1,0,0,1,0,2,0,0,1,0,0,0,1,3,3
1046,3,0,0,4,2,9,0,0,1,0,0,3,0,0,1,0,0,0,1,7,1
1047,3,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1048,1,1,6,0,0,12,0,0,0,1,0,3,0,0,1,1,0,0,0,1,0
1049,3,1,2,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1050,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
1051,3,1,5,0,2,6,1,0,0,1,0,3,0,0,1,0,0,0,1,3,3
1052,3,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
1053,3,0,0,1,1,6,0,0,1,0,0,2,1,0,0,0,0,0,1,3,3
1054,2,1,5,0,0,6,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1055,3,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1056,2,0,7,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
1057,3,1,5,1,1,7,1,0,0,1,0,2,0,0,1,0,0,0,1,3,3
1058,1,0,8,0,0,10,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
1059,3,0,0,2,2,9,0,0,0,0,1,1,0,0,1,0,0,0,1,5,2
1060,1,1,7,0,0,9,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
1061,3,1,2,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1062,3,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1063,3,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1064,3,0,2,1,0,6,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
1065,3,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1066,3,0,7,1,5,9,0,0,0,0,1,3,0,0,1,0,0,0,1,7,1
1067,2,1,0,0,2,10,0,0,0,1,0,1,0,0,1,0,0,0,1,3,3
1068,2,1,1,0,0,10,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0
1069,1,0,9,1,0,10,0,0,0,0,1,2,1,0,0,1,0,0,0,2,3
1070,2,1,7,0,3,10,1,0,0,1,0,2,0,0,1,0,0,1,0,4,3
1071,1,1,9,0,2,11,1,0,0,1,0,2,1,0,0,0,1,0,0,3,3
1072,2,0,6,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1073,1,0,7,1,1,11,0,0,0,0,1,2,1,0,0,0,1,0,0,3,3
1074,1,1,0,1,0,10,1,0,0,1,0,1,0,0,1,0,1,0,0,2,3
1075,3,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
1076,1,1,5,1,1,12,1,0,0,1,0,1,1,0,0,1,0,0,0,3,3
1077,2,0,7,0,0,7,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1078,2,1,1,0,1,7,0,0,0,1,0,2,0,0,1,0,0,0,1,2,3
1079,3,0,0,2,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
1080,3,1,2,8,2,11,0,0,0,1,0,4,0,0,1,0,0,0,1,11,1
1081,2,0,7,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1082,2,0,7,1,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
1083,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1084,3,0,0,1,1,6,0,0,1,0,0,2,0,0,1,0,0,0,1,3,3
1085,2,0,9,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
1086,2,0,0,0,2,9,0,0,1,0,0,2,0,0,1,0,0,0,1,3,3
1087,3,0,6,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1088,1,0,0,0,2,12,0,0,1,0,0,3,1,0,0,0,1,0,0,3,3
1089,3,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1090,2,0,2,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1091,3,1,2,0,0,4,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1092,3,1,2,0,0,6,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
1093,3,0,0,0,2,6,0,0,1,0,0,1,0,0,1,0,0,0,1,3,3
1094,1,0,8,1,0,12,0,1,0,0,0,1,1,0,0,1,0,0,0,2,3
1095,2,1,0,1,1,8,0,0,0,1,0,1,0,0,1,0,0,0,1,3,3
1096,2,0,4,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
1097,1,0,8,0,0,8,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1098,3,1,7,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
