PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Is_Married,Title_Dr/Military/Noble/Clergy,Title_Master,Title_Miss/Mrs/Ms,Title_Mr,Ticket_Frequency,Embarked_C,Embarked_Q,Embarked_S,Deck_ABC,Deck_DE,Deck_FG,Deck_M,Family Size,Family_Size_Grouped
1,0,3,0,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
2,1,1,1,7,1,0,11,1,0,0,1,0,1,1,0,0,1,0,0,0,2,3
3,1,3,1,4,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
4,1,1,1,7,1,0,10,1,0,0,1,0,2,0,0,1,1,0,0,0,2,3
5,0,3,0,7,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
6,0,3,0,3,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
7,0,1,0,9,0,0,10,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
8,0,3,0,0,3,1,7,0,0,1,0,0,4,0,0,1,0,0,0,1,5,2
9,1,3,1,5,0,2,5,1,0,0,1,0,3,0,0,1,0,0,0,1,3,3
10,1,2,1,0,1,0,9,1,0,0,1,0,2,1,0,0,0,0,0,1,2,3
11,1,3,1,0,1,1,7,0,0,0,1,0,2,0,0,1,0,0,1,0,3,3
12,1,1,1,9,0,0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
13,0,3,0,1,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
14,0,3,0,7,1,5,9,0,0,0,0,1,7,0,0,1,0,0,0,1,7,1
15,0,3,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
16,1,2,1,9,0,0,7,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
17,0,3,0,0,4,1,9,0,0,1,0,0,5,0,1,0,0,0,0,1,6,2
18,1,2,0,5,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
19,0,3,1,6,1,0,7,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
20,1,3,1,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
21,0,2,0,7,0,0,8,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0
22,1,2,0,6,0,0,5,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
23,1,3,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
24,1,1,0,5,0,0,10,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
25,0,3,1,0,3,1,7,0,0,0,1,0,4,0,0,1,0,0,0,1,5,2
26,1,3,1,7,1,5,9,1,0,0,1,0,4,0,0,1,0,0,0,1,7,1
27,0,3,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
28,0,1,0,1,3,2,12,0,0,0,0,1,4,0,0,1,1,0,0,0,6,2
29,1,3,1,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
30,0,3,0,3,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
31,0,1,0,7,0,0,9,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
32,1,1,1,7,1,0,12,1,0,0,1,0,2,1,0,0,1,0,0,0,2,3
33,1,3,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
34,0,2,0,9,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
35,0,1,0,5,1,0,11,0,0,0,0,1,2,1,0,0,0,0,0,1,2,3
36,0,1,0,8,1,0,10,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
37,1,3,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
38,0,3,0,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
39,0,3,1,1,2,0,7,0,0,0,1,0,2,0,0,1,0,0,0,1,3,3
40,1,3,1,0,1,0,5,0,0,0,1,0,2,1,0,0,0,0,0,1,2,3
41,0,3,1,7,1,0,4,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
42,0,2,1,5,1,0,7,1,0,0,1,0,2,0,0,1,0,0,0,1,2,3
43,0,3,0,3,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
44,1,2,1,0,1,2,10,0,0,0,1,0,3,1,0,0,0,0,0,1,4,3
45,1,3,1,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
46,0,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
47,0,3,0,3,1,0,6,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
48,1,3,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
49,0,3,0,3,2,0,7,0,0,0,0,1,1,1,0,0,0,0,0,1,3,3
50,0,3,1,1,1,0,7,1,0,0,1,0,2,0,0,1,0,0,0,1,2,3
51,0,3,0,0,4,1,10,0,0,1,0,0,6,0,0,1,0,0,0,1,6,2
52,0,3,0,2,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
53,1,1,1,9,1,0,11,1,0,0,1,0,3,1,0,0,0,1,0,0,2,3
54,1,2,1,5,1,0,8,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
55,0,1,0,9,0,1,11,0,0,0,0,1,1,1,0,0,1,0,0,0,2,3
56,1,1,0,7,0,0,10,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
57,1,2,1,2,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
58,0,3,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
59,1,2,1,0,1,2,9,0,0,0,1,0,3,0,0,1,0,0,0,1,4,3
60,0,3,0,0,5,2,10,0,0,1,0,0,6,0,0,1,0,0,0,1,8,1
61,0,3,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
62,1,1,1,7,0,0,11,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0
63,0,1,0,8,1,0,12,0,0,0,0,1,2,0,0,1,1,0,0,0,2,3
64,0,3,0,0,3,2,9,0,0,1,0,0,6,0,0,1,0,0,0,1,6,2
65,0,1,0,7,0,0,9,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
66,1,3,0,3,1,1,6,0,0,1,0,0,2,1,0,0,0,0,0,1,3,3
67,1,2,1,5,0,0,4,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
68,0,3,0,1,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
69,1,3,1,1,4,2,3,0,0,0,1,0,1,0,0,1,0,0,0,1,7,1
70,0,3,0,4,2,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
71,0,2,0,6,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
72,0,3,1,0,5,2,10,0,0,0,1,0,6,0,0,1,0,0,0,1,8,1
73,0,2,0,2,0,0,11,0,0,0,0,1,5,0,0,1,0,0,0,1,1,0
74,0,3,0,4,1,0,6,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
75,1,3,0,6,0,0,11,0,0,0,0,1,7,0,0,1,0,0,0,1,1,0
76,0,3,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
77,0,3,0,3,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
78,0,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
79,1,2,0,0,0,2,9,0,0,1,0,0,2,0,0,1,0,0,0,1,3,3
80,1,3,1,5,0,0,5,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0
81,0,3,0,2,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
82,1,3,0,5,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
83,1,3,1,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
84,0,1,0,5,0,0,10,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
85,1,2,1,1,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
86,1,3,1,6,3,0,6,1,0,0,1,0,2,0,0,1,0,0,0,1,4,3
87,0,3,0,0,1,3,10,0,0,0,0,1,4,0,0,1,0,0,0,1,5,2
88,0,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
89,1,1,1,3,3,2,12,0,0,0,1,0,4,0,0,1,1,0,0,0,6,2
90,0,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
91,0,3,0,5,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
92,0,3,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
93,0,1,0,8,1,0,11,0,0,0,0,1,1,0,0,1,0,1,0,0,2,3
94,0,3,0,4,1,2,7,0,0,0,0,1,2,0,0,1,0,0,0,1,4,3
95,0,3,0,9,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
96,0,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
97,0,1,0,9,0,0,10,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
98,1,1,0,3,0,1,11,0,0,0,0,1,1,1,0,0,0,1,0,0,2,3
99,1,2,1,6,0,1,7,1,0,0,1,0,2,0,0,1,0,0,0,1,2,3
100,0,2,0,6,1,0,8,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
101,0,3,1,5,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
102,0,3,0,3,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
103,0,1,0,2,0,1,11,0,0,0,0,1,2,0,0,1,0,1,0,0,2,3
104,0,3,0,6,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
105,0,3,0,7,2,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
106,0,3,0,5,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
107,1,3,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
108,1,3,0,3,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
109,0,3,0,7,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
110,1,3,1,2,1,0,8,0,0,0,1,0,3,0,1,0,0,0,0,1,2,3
111,0,1,0,8,0,0,10,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0
112,0,3,1,0,1,0,6,0,0,0,1,0,2,1,0,0,0,0,0,1,2,3
113,0,3,0,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
114,0,3,1,1,1,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,2,3
115,0,3,1,1,0,0,6,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0
116,0,3,0,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
117,0,3,0,9,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
118,0,2,0,5,1,0,7,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
119,0,1,0,3,0,1,12,0,0,0,0,1,2,1,0,0,1,0,0,0,2,3
120,0,3,1,0,4,2,9,0,0,0,1,0,7,0,0,1,0,0,0,1,7,1
121,0,2,0,2,2,0,11,0,0,0,0,1,5,0,0,1,0,0,0,1,3,3
122,0,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
123,0,2,0,6,1,0,9,0,0,0,0,1,2,1,0,0,0,0,0,1,2,3
124,1,2,1,6,0,0,5,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
125,0,1,0,9,0,1,11,0,0,0,0,1,2,0,0,1,0,1,0,0,2,3
126,1,3,0,0,1,0,5,0,0,1,0,0,2,1,0,0,0,0,0,1,2,3
127,0,3,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
128,1,3,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
129,1,3,1,2,1,1,7,0,0,0,1,0,2,1,0,0,0,0,1,0,3,3
130,0,3,0,8,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
131,0,3,0,6,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
132,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
133,0,3,1,8,1,0,6,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
134,1,2,1,5,1,0,8,1,0,0,1,0,1,0,0,1,0,0,0,1,2,3
135,0,2,0,3,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
136,0,2,0,3,0,0,6,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
137,1,1,1,1,0,2,8,0,0,0,1,0,1,0,0,1,0,1,0,0,3,3
138,0,1,0,7,1,0,10,0,0,0,0,1,2,0,0,1,1,0,0,0,2,3
139,0,3,0,0,0,0,4,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0
140,0,1,0,3,0,0,11,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0
141,0,3,1,2,0,2,6,1,0,0,1,0,2,1,0,0,0,0,0,1,3,3
142,1,3,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
143,1,3,1,3,1,0,6,1,0,0,1,0,2,0,0,1,0,0,0,1,2,3
144,0,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
145,0,2,0,1,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
146,0,2,0,1,1,1,10,0,0,0,0,1,2,0,0,1,0,0,0,1,3,3
147,1,3,0,5,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
148,0,3,1,0,2,2,10,0,0,0,1,0,4,0,0,1,0,0,0,1,5,2
149,0,2,0,7,0,2,8,0,0,0,0,1,3,0,0,1,0,0,1,0,3,3
150,0,2,0,8,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
151,0,2,0,9,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
152,1,1,1,2,1,0,11,1,0,0,1,0,2,0,0,1,1,0,0,0,2,3
153,0,3,0,9,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
154,0,3,0,8,0,2,6,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
155,0,3,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
156,0,1,0,9,0,1,11,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3
157,1,3,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
158,0,3,0,5,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
159,0,3,0,3,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
160,0,3,0,3,8,2,11,0,0,1,0,0,7,0,0,1,0,0,0,1,11,1
161,0,3,0,8,0,1,7,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
162,1,2,1,7,0,0,6,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
163,0,3,0,4,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
164,0,3,0,1,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
165,0,3,0,0,4,1,10,0,0,1,0,0,6,0,0,1,0,0,0,1,6,2
166,1,3,0,0,0,2,7,0,0,1,0,0,3,0,0,1,0,0,0,1,3,3
167,1,1,1,7,0,1,10,1,0,0,1,0,2,0,0,1,0,1,0,0,2,3
168,0,3,1,8,1,4,9,1,0,0,1,0,6,0,0,1,0,0,0,1,6,2
169,0,1,0,7,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
170,0,3,0,5,0,0,11,0,0,0,0,1,7,0,0,1,0,0,0,1,1,0
171,0,1,0,9,0,0,10,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
172,0,3,0,0,4,1,9,0,0,1,0,0,5,0,1,0,0,0,0,1,6,2
173,1,3,1,0,1,1,5,0,0,0,1,0,3,0,0,1,0,0,0,1,3,3
174,0,3,0,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
175,0,1,0,9,0,0,9,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
176,0,3,0,1,1,1,2,0,0,0,0,1,1,0,0,1,0,0,0,1,3,3
177,0,3,0,3,3,1,8,0,0,1,0,0,4,0,0,1,0,0,0,1,5,2
178,0,1,1,9,0,0,9,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
179,0,2,0,5,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
180,0,3,0,7,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,1,0
181,0,3,1,2,8,2,11,0,0,0,1,0,7,0,0,1,0,0,0,1,11,1
182,0,2,0,5,0,0,6,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
183,0,3,0,0,4,2,9,0,0,1,0,0,4,0,0,1,0,0,0,1,7,1
184,1,2,0,0,2,1,10,0,0,1,0,0,2,0,0,1,0,0,1,0,4,3
185,1,3,1,0,0,2,7,0,0,0,1,0,1,0,0,1,0,0,0,1,3,3
186,0,1,0,7,0,0,10,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
187,1,3,1,2,1,0,6,1,0,0,1,0,2,0,1,0,0,0,0,1,2,3
188,1,1,0,8,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
189,0,3,0,7,1,1,6,0,0,0,0,1,2,0,1,0,0,0,0,1,3,3
190,0,3,0,7,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
191,1,2,1,6,0,0,5,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
192,0,2,0,1,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
193,1,3,1,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,2,3
194,1,2,0,0,1,1,8,0,0,1,0,0,3,0,0,1,0,0,1,0,3,3
195,1,1,1,8,0,0,9,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
196,1,1,1,9,0,0,12,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0
197,0,3,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
198,0,3,0,8,0,1,4,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3
199,1,3,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
200,0,2,1,3,0,0,5,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
201,0,3,0,5,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
202,0,3,0,3,8,2,11,0,0,0,0,1,7,0,0,1,0,0,0,1,11,1
203,0,3,0,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
204,0,3,0,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
205,1,3,0,1,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
206,0,3,1,0,0,1,4,0,0,0,1,0,2,0,0,1,0,0,1,0,2,3
207,0,3,0,6,1,0,6,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
208,1,3,0,4,0,0,7,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0
209,1,3,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
210,1,1,0,7,0,0,9,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
211,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
212,1,2,1,7,0,0,7,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
213,0,3,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
214,0,2,0,5,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
215,0,3,0,3,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
216,1,1,1,6,1,0,12,0,0,0,1,0,3,1,0,0,0,1,0,0,2,3
217,1,3,1,5,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
218,0,2,0,8,1,0,9,0,0,0,0,1,2,0,0,1,0,0,0,1,2,3
219,1,1,1,6,0,0,11,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
220,0,2,0,5,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
